SKU,Nombre,Precio,Marca,Laboratorio,Codigo_Barras_1,Codigo_Barras_2,Codigo_Barras_3,Codigo_Barras_4,Categoria,Es_Medicamento
43840,Glucerna Shake Vainilla Solución X 237 G,16850.4,Glucerna,Abbot Nutricion,70074124841,70074113760,,,Suplementos y Complementos,true
43849,Subical Sol X2,10120.1,Bernabo-Microsu,BERNABO-MICROSU,7792175009430,,,,Medicamentos Bajo Receta,true
43858,Eucerin DAControl AtopiControl Crema facial de cuidado intensivo Piel seca,18254.3,EUCERIN,EUCERIN,4005800079948,,,,Hidratación,
4386,Epamin Cap X30,61079.4,Elea Phoenix,Elea Phoenix,7792690000646,,,,Medicamentos Bajo Receta,true
43860,Eucerin DermoCapillaire Tratamiento intensivo revitalizante anticaída,39879.4,EUCERIN,EUCERIN,4005800037153,,,,Capilar,
43864,"Virosupril 3,75% Cre X5",43596.7,Raymos,Raymos,7791763000989,,,,Medicamentos Bajo Receta,true
43867,Ibumultin Com 600X10,5718.45,Lazar,Lazar,7795347934806,,,,Medicamentos Bajo Receta,true
4388,"Epamin ""Liquido"" Sus X120",27156.7,Elea Phoenix,Elea Phoenix,7792690021320,,,,Medicamentos Bajo Receta,true
43895,Mamadera Bebefantitos Tomasolito Cristalina Tetina Silicona x250ml,10505.4,Bebefantitos,Atucha,7793066000093,,,,Mamaderas,
43898,Vaso Bebefantitos Con Pico X 1 Un,6184.94,Bebefantitos,Atucha,7793066000048,,,,Accesorios para Bebes y Maternidad,
43929,Lata Leche Infantil Vital Etapa 3 Nutri-Plus x800gr,25758.6,Vital,KASD,7795323774853,7795323002208,,,Leches y Alimentos,true
43930,Body Spray Old Spice Wolfthorn 96 g,14555.3,Old Spice,PROCTER & GAMBLE,7500435247610,,,,Desodorantes Masculinos,
43934,Antitranspirante Old Spice Wolfthorn Barra 50 g,6510.11,Old Spice,PROCTER & GAMBLE,7506309839202,7506309839233,,,Desodorantes Masculinos,
43938,Bagovit Solar Emulsion Spray Fps 40 X200,1350.67,Bagovit,Bago,7790375003159,,,,Protectores Solares,
43944,Shampoo Oleo Extraordinario Nutricion Universal 200ml ,4704.25,ELVIVE,L`OREAL ARGENTINA SA,7509552859133,7509552910957,,,Shampoo,
43945,Shampoo Oleo Extraordinario Nutricion Universal 400ml ,10695.3,ELVIVE,L`OREAL ARGENTINA SA,7509552859126,7509552908459,,,Shampoo,
43947,Acondicionador Oleo Extraordinario Nutricion Universal 200ml,4704.25,ELVIVE,L`OREAL ARGENTINA SA,7509552791457,7898587774925,,,Acondicionadores y Cremas,
43948,Acondicionador Oleo Extraordinario Nutricion Universal 400ml,10695.3,ELVIVE,L`OREAL ARGENTINA SA,7509552791280,7898587774949,,,Acondicionadores y Cremas,
43950,Shampoo Elvive Oleo Extraordinario Coco 200ml ,4704.25,ELVIVE,L`OREAL ARGENTINA SA,7509552791860,7898587775120,,,Shampoo,
43951,Shampoo Elvive Oleo Extraordinario Coco 400ml ,10695.3,ELVIVE,L`OREAL ARGENTINA SA,7509552790498,7898587774987,,,Shampoo,
43953,Acondicionador Elvive Oleo Extraordinario Coco 200ml ,4704.25,ELVIVE,L`OREAL ARGENTINA SA,7509552840353,7898587775021,,,Acondicionadores y Cremas,
43954,Acondicionador Elvive Oleo Extraordinario Coco 400ml ,10695.3,ELVIVE,L`OREAL ARGENTINA SA,7509552790443,7898587775045,,,Acondicionadores y Cremas,
43956,Mascarilla Elvive Oleo Extraordinario Coco x300gr ,10645.5,ELVIVE,L`OREAL ARGENTINA SA,7509552851625,7898587775083,,,Tratamiento y Reparación,
43983,Flucoderm Com 150X4,25570,Cassara,Cassara,7795373011168,,,,Medicamentos Bajo Receta,true
43985,Tabe Com 60X20,18936,Bernabo-Microsu,BERNABO-MICROSU,7792175009447,,,,Medicamentos Bajo Receta,true
43986,Tanvimil E Com 1000X30,42257.1,Raymos,Raymos,7791763001306,,,,Medicamentos Bajo Receta,true
43987,Tanvimil E Com 1000X60,72445.3,Raymos,Raymos,7791763001313,,,,Medicamentos Bajo Receta,true
440,Alcon Mydril 1% Got X5,18954,Alcon,Alcon,7792086057551,7795306428599,7896548162330,,Medicamentos Bajo Receta,true
44004,Gastromax Com 40X60,38000.6,Gador,Gador,7792183001839,,,,Medicamentos Bajo Receta,true
44005,Gastromax Com 40X30,20303.1,Gador,Gador,7792183001822,,,,Medicamentos Bajo Receta,true
44073,6.35 Rubio Oscuro Dorado Caoba Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503644,,,,Coloración Permanente,
44074,6.66 Rubio Oscuro Rojo Intenso Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503729,,,,Coloración Permanente,
44076,10.1 Rubio Extra Claro Ceniza Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503620,,,,Coloración Permanente,
44077,12.11 Rubio Platino Ceniza Intenso Kit X150G,5996.97,Alta Moda,Alfaparf,7899884213421,7898468503804,,,Coloración Permanente,
44078,12.00 Rubio Platino Kit X150G,5996.97,Alta Moda,Alfaparf,7899884213438,7898468503798,,,Coloración Permanente,
44079,1 Negro Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503491,,,,Coloración Permanente,
